year_month,age,male,female,total,source_url
202101,0,623,572,1195,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,25,638,600,1238,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,50,803,880,1683,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,75,234,263,497,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,1,635,564,1199,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,26,661,593,1254,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,51,827,793,1620,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,76,336,421,757,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,2,599,571,1170,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,27,623,663,1286,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,52,842,886,1728,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,77,377,442,819,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,3,656,616,1272,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,28,608,622,1230,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,53,807,871,1678,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,78,347,427,774,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,4,625,640,1265,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,29,672,666,1338,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,54,672,689,1361,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,79,377,497,874,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,5,668,659,1327,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,30,648,662,1310,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,55,656,712,1368,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,80,355,459,814,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,6,633,619,1252,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,31,661,667,1328,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,56,686,721,1407,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,81,328,411,739,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,7,671,628,1299,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,32,663,722,1385,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,57,669,781,1450,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,82,318,375,693,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,8,686,691,1377,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,33,715,655,1370,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,58,638,727,1365,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,83,267,385,652,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,9,710,693,1403,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,34,762,756,1518,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,59,698,733,1431,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,84,249,386,635,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,10,658,681,1339,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
202101,35,739,766,1505,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202101nenrei-zentai.pdf
